grade,month,day,heat_id,nom_length,billets_qty,l1_length,l2_length,l3_length,l1_romb,l2_romb,l3_romb
SAE 1011,Enero,2,35024794.0,4.4,120,4.41,4.41,4.41,3,2,2.0
SAE 1011,Enero,3,35024795.0,4.4,127,4.4,4.4,4.42,3,2,2.0
SAE 1011,Enero,3,35024796.0,4.4,122,4.4,,4.41,1,,3.0
SAE 1011,Enero,3,35024797.0,4.4,108,4.41,,4.41,1,,3.0
SAE 1011,Enero,3,35024798.0,4.4,103,4.4,,4.4,1,,3.0
SAE 1011,Enero,3,35024799.0,4.4,117,4.41,4.41,4.41,2,2,4.0
SAE 1011,Enero,3,35024800.0,4.4,127,4.4,4.41,4.41,3,2,3.0
SAE 1008,Enero,3,35024818.0,4.4,119,4.41,4.4,4.41,3,2,3.0
SAE 1008,Enero,3,35024819.0,4.4,118,4.41,4.41,4.4,3,3,3.0
SAE 1008,Enero,3,35024820.0,4.4,121,4.42,4.41,4.41,2,1,2.0
SAE 1008,Enero,3,35024821.0,4.4,120,4.42,4.41,4.41,2,2,2.0
SAE 1008,Enero,3,35024822.0,4.4,116,4.41,4.41,4.41,3,2,3.0
SAE 1008,Enero,3,35024823.0,4.4,123,4.41,4.41,4.41,3,2,3.0
SAE 1008,Enero,3,35024824.0,4.4,120,4.41,4.41,4.41,3,2,3.0
SAE 1008,Enero,3,35024825.0,4.4,119,4.41,4.41,4.41,3,3,2.0
SAE 1008,Enero,3,35024826.0,4.4,119,4.4,4.41,4.41,2,3,3.0
SAE 1008,Enero,3,35024827.0,4.4,117,4.41,4.4,4.41,3,3,4.0
SAE 1008,Enero,3,35024828.0,4.4,124,4.41,4.41,4.4,3,3,4.0
SAE 1008,Enero,4,35024829.0,4.4,116,4.4,4.41,4.41,3,3,4.0
SAE 1008,Enero,4,35024830.0,4.4,119,4.4,4.41,4.41,4,3,6.0
SAE 1008,Enero,4,35024831.0,4.4,118,4.4,4.41,4.41,3,3,5.0
SAE 1008,Enero,4,35024832.0,4.4,118,4.4,4.41,4.41,3,3,4.0
SAE 1008,Enero,4,35024833.0,4.4,113,4.4,4.41,4.41,3,3,4.0
SAE 1523,Enero,4,35024834.0,4.4,116,4.4,4.41,4.41,2,2,3.0
SAE 1523,Enero,4,35024835.0,4.4,121,4.4,4.4,4.41,1,2,2.0
SAE 1523,Enero,4,35024836.0,4.4,124,4.41,4.41,4.41,2,2,2.0
SAE 1523,Enero,4,35024837.0,4.4,121,4.41,4.4,4.4,2,2,2.0
SAE 1523,Enero,4,35024838.0,4.4,102,4.41,4.4,,2,3,
SAE 1523,Enero,4,35024839.0,4.4,117,4.4,4.4,4.39,10,10,10.0
SAE 1523,Enero,4,35024840.0,4.4,120,4.4,4.4,4.39,10,2,10.0
SAE 1523,Enero,4,35024841.0,4.4,119,4.4,4.4,4.39,9,2,8.0
SAE 1523,Enero,4,35024842.0,4.4,121,4.4,4.4,4.4,9,2,8.0
SAE 1523,Enero,4,35024843.0,4.4,117,4.4,4.4,4.4,9,2,3.0
SAE 1523,Enero,4,35024844.0,4.4,118,4.4,4.41,4.42,2,2,3.0
